GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sinapipro-api,com.sinapipro.api.sinapi.domain,Material,11,32,0,0,2,11,2,5,2,5
sinapipro-api,com.sinapipro.api.sinapi.domain,CompositionItem,13,18,0,0,4,7,4,3,4,3
sinapipro-api,com.sinapipro.api.config,SecurityProperties.AccessToken,9,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.config,ApplicationHealthIndicator,83,0,2,0,20,0,3,0,2,0
sinapipro-api,com.sinapipro.api.config,SecurityProperties,52,0,6,0,11,0,4,0,1,0
sinapipro-api,com.sinapipro.api.config,RateLimitFilter,99,8,10,0,20,2,8,1,3,1
sinapipro-api,com.sinapipro.api.config,SecurityProperties.DemoUser,24,0,4,0,3,0,3,0,1,0
sinapipro-api,com.sinapipro.api.config,OpenApiConfiguration,219,0,0,0,36,0,2,0,2,0
sinapipro-api,com.sinapipro.api.config,SecurityConfiguration,260,0,4,0,44,0,22,0,20,0
sinapipro-api,com.sinapipro.api.config,SecurityProperties.RefreshToken,6,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.config,RateLimitFilter.TokenBucket,48,0,4,0,11,0,4,0,2,0
sinapipro-api,com.sinapipro.api.budget.application,AbcCurveService.AbcEntry,24,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.budget.application,PriceAdjustmentService.AdjustmentType,0,21,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.budget.application,BudgetCalculationService,43,0,0,0,11,0,2,0,2,0
sinapipro-api,com.sinapipro.api.budget.application,PriceAdjustmentService.AdjustmentResult,0,21,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.budget.application,BudgetCalculationService.BudgetSummary,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.budget.application,AbcCurveService.MaterialAccumulator,25,0,0,0,8,0,3,0,3,0
sinapipro-api,com.sinapipro.api.budget.application,PriceAdjustmentService.AdjustedItem,0,15,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.budget.application,PriceAdjustmentService,2,282,0,8,0,48,1,11,1,7
sinapipro-api,com.sinapipro.api.budget.application,BudgetService,39,172,0,2,7,29,3,10,3,9
sinapipro-api,com.sinapipro.api.budget.application,AbcCurveService,162,0,12,0,32,0,9,0,3,0
sinapipro-api,com.sinapipro.api.budget.application,BudgetCodeAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
sinapipro-api,com.sinapipro.api.procurement.domain,QuotationResponse,13,30,0,0,4,11,4,5,4,5
sinapipro-api,com.sinapipro.api.procurement.domain,PurchaseRequestStatus,0,21,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.procurement.domain,PurchaseOrder,35,65,0,0,9,19,9,8,9,8
sinapipro-api,com.sinapipro.api.procurement.domain,Receiving,19,18,0,0,6,7,6,2,6,2
sinapipro-api,com.sinapipro.api.procurement.domain,Quotation,22,26,0,0,5,9,5,4,5,4
sinapipro-api,com.sinapipro.api.procurement.domain,PurchaseRequest,28,24,0,0,9,9,9,1,9,1
sinapipro-api,com.sinapipro.api.contract.api,ContractController.CreateContractRequest,24,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.contract.api,ContractController.ChangeOrderResponse,37,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.contract.api,ContractController.ContractResponse,64,0,0,0,4,0,2,0,2,0
sinapipro-api,com.sinapipro.api.contract.api,ContractController,90,0,0,0,16,0,8,0,8,0
sinapipro-api,com.sinapipro.api.contract.api,ContractController.CreateChangeOrderRequest,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.timetracking.application,LaborProductivityService,127,0,8,0,25,0,8,0,4,0
sinapipro-api,com.sinapipro.api.timetracking.application,LaborProductivityService.RoleProductivity,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.timetracking.application,LaborProductivityService.ProductivityReport,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.timetracking.application,LaborProductivityService.RoleStats,37,0,2,0,8,0,3,0,2,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController.PriceAdjustmentRequest,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController.CreateItemRequest,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController.BdiResponse,53,0,0,0,4,0,3,0,3,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController.CreateStageRequest,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController.ItemResponse,55,0,0,0,4,0,2,0,2,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController,281,0,7,0,46,0,20,0,16,0
sinapipro-api,com.sinapipro.api.budget.api,UpdateBudgetRequest,0,24,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.budget.api,BudgetFilter,0,9,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.budget.api,BudgetController,62,0,0,0,13,0,7,0,7,0
sinapipro-api,com.sinapipro.api.budget.api,CreateBudgetRequest,0,27,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController.StageResponse,36,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetResponse,62,0,0,0,5,0,2,0,2,0
sinapipro-api,com.sinapipro.api.budget.api,BudgetDetailController.BdiRequest,21,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.weather.api,WeatherDelayController,65,0,4,0,9,0,6,0,4,0
sinapipro-api,com.sinapipro.api.weather.api,WeatherDelayController.CreateWeatherDelayRequest,21,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.weather.api,WeatherDelayController.WeatherDelayResponse,37,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.weather.api,WeatherDelayController.WeatherDelaySummary,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.notification.application,NotificationService,214,0,18,0,42,0,14,0,5,0
sinapipro-api,com.sinapipro.api.schedule.api,ScheduleController.DependencyResponse,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.schedule.api,ScheduleController.CreateDependencyRequest,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.schedule.api,ScheduleController.ActivityResponse,52,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.schedule.api,ScheduleController.UpdateProgressRequest,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.schedule.api,ScheduleController,187,0,2,0,29,0,13,0,12,0
